Ref. No.,Refinery,Province,Prov - Category,Technology,Ownership,Owner,Bauxite Previous,Bauxite Now,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
65.2,Xingan Chemical import,Shanxi,Shanxi,L-B,Jinjiang,Jinjiang,Imported,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4
66.0,Yangquan Zhaofeng,Shanxi,Shanxi,H-B (Lime),"Xinfa, Yangquan Coal",Xinfa,Domestic,Domestic,0.0,0.0,0.004,0.3,0.16,0.178228782,0.193648294,0.385,0.66,0.7,0.7,0.7,0.8,0.8,0.4,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
67.0,Gangyuan Jiaohua,Shanxi,Shanxi,H-B,Private,Other,Domestic,Domestic,0.0,0.0,0.0,0.0,0.0,0.031190037,0.033888451,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.1,Chalco Xinghua,Shanxi,Shanxi,H-B,Chalco,Chalco,Domestic,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.315,0.55,0.9,0.65,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.2,Chalco Xinghua import,Shanxi,Shanxi,H-B,Chalco,Chalco,Imported,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.75,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6
69.0,Tiantong,Shanxi,Shanxi,H-B,Private,Other,Domestic,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,Fusheng,Shanxi,Shanxi,H-B,Jinjiang,Jinjiang,Domestic,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.7,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5
71.0,YMG - Wenshan,Yunnan,Other,H-B,Yunnan Aluminium Companuy,Chalco,Domestic,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.2,0.6,0.6,0.6,1.0,0.85,1.45,1.6,1.6,1.6,1.6,1.6,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2
72,spare,spare,Other,spare,spare,spare,spare,spare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,spare,spare,Other,spare,spare,,spare,spare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,spare,spare,Other,spare,spare,,spare,spare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,spare,spare,Other,spare,spare,,spare,spare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,spare,spare,Other,spare,spare,,spare,spare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,spare,spare,Other,spare,spare,,spare,spare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,spare,spare,Other,spare,spare,,spare,spare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
